Entity,Flights
United Kingdom,"4,129"
Germany,"3,909"
Spain,"3,898"
France,"3,044"
Italy,"2,659"
TÃ¼rkiye,"2,415"
Netherlands,"1,442"
Norway,"1,313"
Poland,962
Switzerland,961
Portugal,854
Sweden,758
Belgium,739
Denmark,706
Greece,688
Austria,651
Morocco,561
Ireland,547
Finland,506
Romania,456
Czech Republic,306
Hungary,302
Israel,280
Serbia & Montenegro,223
Bulgaria,169
Luxembourg,165
Cyprus,163
Georgia,157
Croatia,154
Albania,136
Lithuania,123
Latvia,122
Malta,120
Estonia,98
Armenia,84
Moldova,80
Slovakia,57
North Macedonia,51
Bosnia-Herzegovina,50
Slovenia,49
Ukraine,0
